"term","D","p.value","p.value_adjusted"
"about even",0.380571428571429,4.7430073801813e-07,"0"
"almost certainly",0.2855,0.000286250094018503,"2e-05"
"almost no chance",0.0807291666666666,0.86701770925123,"0.43511"
"better than even",0.294829125740726,0.000140860547369059,"3e-05"
"chances are slight",0.0376653949184187,0.999998781701063,"0.98156"
"highly likely",0.250974831619993,0.00268901458150739,"0.00045"
"highly unlikely",0.178313873626374,0.0679382489178607,"0.0154"
"improbable",0.205632653061224,0.0192067816924799,"0.00541"
"likely",0.405825560464736,2.88914306922905e-08,"0"
"little chance",0.107148936170213,0.568982597758156,"0.24805"
"probable",0.247658516369664,0.00254518397386749,"0.00041"
"probably",0.365289390372595,8.45228626200623e-07,"0"
"probably not",0.241813004271476,0.00296812420900605,"6e-04"
"unlikely",0.156417112299465,0.119722883739908,"0.04288"
"very good chance",0.205301325331333,0.0210190958385655,"0.00404"
"we believe",0.133333333333333,0.263907272759243,"0.11632"
"we doubt",0.068833496252851,0.956677285684035,"0.71063"
